,genre,year,word,freq
15,랩/힙합,2007,사랑,43
16,랩/힙합,2007,적,31
22,랩/힙합,2007,세상,13
25,랩/힙합,2007,그,17
37,랩/힙합,2007,말,21
39,랩/힙합,2007,날,11
49,랩/힙합,2007,왜,21
50,랩/힙합,2007,정말,10
51,랩/힙합,2007,난,24
72,랩/힙합,2007,이,10
73,랩/힙합,2007,모든,12
75,랩/힙합,2007,당신,10
80,랩/힙합,2007,또,12
1,랩/힙합,2007,나,23
9,랩/힙합,2007,너,29
57,랩/힙합,2007,니,11
58,랩/힙합,2007,오늘,12
0,랩/힙합,2007,없어도,19
4,랩/힙합,2007,꿈,10
6,랩/힙합,2007,멀리,12
16,랩/힙합,2007,그대,11
23,랩/힙합,2007,미친,12
59,랩/힙합,2007,수,16
97,랩/힙합,2007,가슴,11
15,랩/힙합,2007,하늘,12
1,랩/힙합,2007,눈물,20
60,랩/힙합,2007,속,12
66,랩/힙합,2007,음,20
71,랩/힙합,2007,위로,12
5,랩/힙합,2007,듯이,10
1,랩/힙합,2008,바람,11
2,랩/힙합,2008,불,13
3,랩/힙합,2008,때,32
5,랩/힙합,2008,세상,33
7,랩/힙합,2008,그,41
10,랩/힙합,2008,이,17
11,랩/힙합,2008,밤,13
14,랩/힙합,2008,나,101
30,랩/힙합,2008,속,22
33,랩/힙합,2008,그대,83
46,랩/힙합,2008,눈물,21
52,랩/힙합,2008,모두,13
70,랩/힙합,2008,사람,31
86,랩/힙합,2008,더,11
91,랩/힙합,2008,시간,16
97,랩/힙합,2008,단,22
5,랩/힙합,2008,심장,10
16,랩/힙합,2008,내,163
20,랩/힙합,2008,숨,12
29,랩/힙합,2008,네,36
30,랩/힙합,2008,마음,28
34,랩/힙합,2008,널,42
39,랩/힙합,2008,니,34
41,랩/힙합,2008,넌,32
43,랩/힙합,2008,구원,12
44,랩/힙합,2008,손,18
51,랩/힙합,2008,눈,27
55,랩/힙합,2008,꿈,12
70,랩/힙합,2008,생각,18
28,랩/힙합,2008,난,62
39,랩/힙합,2008,우산,16
44,랩/힙합,2008,젠,13
46,랩/힙합,2008,곁,22
60,랩/힙합,2008,머리,16
61,랩/힙합,2008,위,20
75,랩/힙합,2008,가슴,22
76,랩/힙합,2008,맘,20
81,랩/힙합,2008,수,12
83,랩/힙합,2008,우리,30
90,랩/힙합,2008,날,30
95,랩/힙합,2008,이제,14
97,랩/힙합,2008,두,10
0,랩/힙합,2008,사랑,147
2,랩/힙합,2008,너,133
3,랩/힙합,2008,하나,29
20,랩/힙합,2008,것,13
36,랩/힙합,2008,미소,11
38,랩/힙합,2008,준,10
39,랩/힙합,2008,말,51
82,랩/힙합,2008,항상,20
2,랩/힙합,2008,하루,12
28,랩/힙합,2008,미치겠어,36
38,랩/힙합,2008,걸,20
39,랩/힙합,2008,해,18
58,랩/힙합,2008,못,24
1,랩/힙합,2008,마지막,11
5,랩/힙합,2008,제발,11
17,랩/힙합,2008,매일,10
19,랩/힙합,2008,정말,39
77,랩/힙합,2008,오늘,10
27,랩/힙합,2008,순간,15
34,랩/힙합,2008,없어,18
12,랩/힙합,2008,에너지,15
8,랩/힙합,2008,분,17
9,랩/힙합,2008,초도,14
26,랩/힙합,2008,있어,18
51,랩/힙합,2008,좋아,13
2,랩/힙합,2009,사람,15
7,랩/힙합,2009,사랑,72
11,랩/힙합,2009,난,23
14,랩/힙합,2009,맘,11
20,랩/힙합,2009,두,13
27,랩/힙합,2009,내,41
44,랩/힙합,2009,또,11
47,랩/힙합,2009,때,11
48,랩/힙합,2009,말,42
49,랩/힙합,2009,너,22
54,랩/힙합,2009,것,15
66,랩/힙합,2009,날,15
69,랩/힙합,2009,이별,10
98,랩/힙합,2009,그대,26
100,랩/힙합,2009,나,18
105,랩/힙합,2009,더,15
1,랩/힙합,2009,남자,12
3,랩/힙합,2009,우리,20
79,랩/힙합,2009,모두,10
65,랩/힙합,2009,번,13
4,랩/힙합,2009,자꾸,10
0,랩/힙합,2010,너,66
5,랩/힙합,2010,내,60
8,랩/힙합,2010,것,33
17,랩/힙합,2010,난,40
22,랩/힙합,2010,맘,21
28,랩/힙합,2010,날,25
33,랩/힙합,2010,눈물,11
51,랩/힙합,2010,이,12
54,랩/힙합,2010,말,43
55,랩/힙합,2010,나,17
57,랩/힙합,2010,수,12
65,랩/힙합,2010,왜,18
69,랩/힙합,2010,없어,11
71,랩/힙합,2010,사랑,33
79,랩/힙합,2010,니,12
99,랩/힙합,2010,때,12
101,랩/힙합,2010,다시,10
