ids,Year,Source,Target,Weight
36,2001,말(N),없(P),8
37,2001,말(N),하(P),9
38,2001,맘(N),모르(P),8
39,2001,모습(N),보(P),5
40,2001,미소(N),같(P),5
41,2001,미소(N),보(P),5
42,2001,바(N),가(P),9
43,2001,바(N),따(P),9
44,2001,바(N),래(P),25
45,2001,바래(N),있(P),6
46,2001,바보(N),같(P),9
47,2001,바보(N),보(P),5
48,2001,삐용(N),태어나(P),8
49,2001,사람(N),고맙(P),5
50,2001,사람(N),만나(P),8
51,2001,사람(N),알(P),6
52,2001,사랑(N),가(P),8
53,2001,사랑(N),그(P),8
54,2001,사랑(N),그렇(P),5
55,2001,사랑(N),되(P),7
56,2001,사랑(N),만나(P),13
57,2001,사랑(N),미치(P),5
58,2001,사랑(N),보(P),8
59,2001,사랑(N),빠지(P),6
60,2001,사랑(N),슬프(P),9
61,2001,사랑(N),아프(P),10
62,2001,사랑(N),알(P),5
63,2001,사랑(N),없(P),16
64,2001,사랑(N),오(P),6
65,2001,사랑(N),위하(P),7
66,2001,사랑(N),있(P),8
67,2001,사랑(N),하(P),24
68,2001,상처(N),받(P),5
69,2001,생각(N),나(P),5
70,2001,생각(N),아프(P),8
71,2001,세상(N),보(P),6
72,2001,세상(N),없(P),7
73,2001,세상(N),있(P),5
74,2001,세상(N),하(P),7
75,2001,세상(N),힘들(P),6
76,2001,속(N),있(P),8
77,2001,손(N),잡(P),5
78,2001,술(N),취하(P),10
79,2001,아무것(N),없(P),6
80,2001,여자(N),있(P),6
81,2001,이밤(N),취하(P),6
82,2001,이상(N),없(P),5
83,2001,이제(N),없(P),9
84,2001,이제(N),하(P),6
85,2001,일(N),없(P),6
86,2001,자신(N),없(P),8
87,2001,짜증(N),내(P),10
88,2001,처음(N),보(P),9
89,2001,편지(N),쓰(P),11
90,2001,편지(N),흐리(P),11
91,2001,필요(N),없(P),6
92,2001,하늘(N),쓰(P),11
93,2001,하늘(N),흐리(P),12
94,2001,하루(N),가(P),5
95,2001,행복(N),되(P),7
96,2001,행복(N),보(P),6
97,2001,화(N),내(P),11
98,2001,환상(N),있(P),6
99,2001,후회(N),되(P),5
100,2001,훗날(N),멀(P),5
101,2001,힙합(N),태어나(P),8
0,2002,가슴(N),아프(P),8
1,2002,걸(N),기다리(P),8
2,2002,곁(N),있(P),18
3,2002,곳(N),멀(P),12
4,2002,곳(N),있(P),7
5,2002,길(N),비켜(P),8
6,2002,길(N),비키(P),6
7,2002,나(N),나(P),6
8,2002,나(N),나나나(P),13
9,2002,난(N),나나나(P),7
10,2002,날(N),기다리(P),5
11,2002,날(N),내(P),5
12,2002,날(N),다가가(P),5
13,2002,날(N),대(P),5
14,2002,날(N),보(P),12
15,2002,날(N),없(P),9
16,2002,남자(N),나쁘(P),18
17,2002,눈(N),뜨(P),9
18,2002,눈물(N),감추(P),6
19,2002,눈물(N),르(P),10
20,2002,눈물(N),지우(P),5
21,2002,눈물(N),흐르(P),18
22,2002,눈물(N),흘리(P),8
23,2002,니맘(N),훔치(P),9
24,2002,다(N),르(P),10
25,2002,달나라(N),꿈꾸(P),5
26,2002,도시(N),비추(P),6
27,2002,따(N),바르(P),5
28,2002,때(N),광내(P),6
29,2002,때(N),르(P),20
30,2002,때(N),빼(P),6
31,2002,라(N),따따(P),7
32,2002,마(N),르(P),20
33,2002,마음(N),알(P),6
34,2002,마음(N),없(P),8
35,2002,말(N),없(P),15
36,2002,말(N),있(P),8
37,2002,말(N),하(P),28
38,2002,맘(N),없(P),5
39,2002,매력(N),있(P),6
40,2002,머리(N),길(P),6
41,2002,멋(N),나가(P),5
42,2002,모(N),되(P),6
43,2002,모(N),이(P),6
44,2002,모습(N),광내(P),5
45,2002,모습(N),귀엽(P),5
46,2002,모습(N),보(P),6
